metro,zip,pred_cat1,pred_cat2,pred_cat3,pred_cat4,sd_cat1,sd_cat2,sd_cat3,sd_cat4,ci_low_cat1,ci_low_cat2,ci_low_cat3,ci_low_cat4,ci_high_cat1,ci_high_cat2,ci_high_cat3,ci_high_cat4,effective_n,unique_zips
Las Vegas,89002,89.15,91.07,93.58,97.57,1.5,1.61,1.8,2.02,87.1,88.9,90.6,94.3,91.4,94.0,96.6,100.6,37.59,50
Las Vegas,89005,89.21,90.53,92.36,95.56,1.79,1.7,1.68,1.85,86.3,87.4,88.9,91.8,91.6,92.8,94.9,98.4,37.31,48
Las Vegas,89011,88.92,90.6,92.88,96.6,1.2,1.29,1.47,1.73,86.9,88.8,90.6,93.3,91.4,92.8,94.9,99.1,39.06,50
Las Vegas,89012,89.62,91.83,94.59,98.85,1.49,1.57,1.72,1.95,87.1,89.3,91.5,95.4,92.1,94.6,97.6,102.0,33.33,42
Las Vegas,89014,89.37,91.36,93.93,97.93,1.38,1.59,1.83,2.07,87.3,88.9,90.9,94.6,91.6,94.0,96.7,101.1,32.68,44
Las Vegas,89015,88.51,89.98,92.03,95.45,1.2,1.17,1.26,1.51,86.5,88.2,90.4,93.2,90.3,91.9,94.2,98.2,36.23,51
Las Vegas,89019,90.43,91.87,93.81,97.16,3.29,3.38,3.61,4.12,86.1,87.1,88.6,91.3,98.5,99.4,101.7,106.0,32.05,45
Las Vegas,89027,88.99,90.35,92.23,95.52,1.56,1.56,1.64,1.91,86.7,88.2,89.6,92.1,91.4,92.8,94.9,98.4,32.26,44
Las Vegas,89029,89.45,90.78,92.58,95.71,2.29,2.29,2.37,2.74,85.9,87.0,88.6,91.3,93.7,95.3,96.4,98.4,36.5,43
Las Vegas,89030,88.65,90.06,92.07,95.44,1.24,1.27,1.43,1.68,86.2,87.7,89.9,93.3,90.9,92.3,94.4,98.3,21.28,26
Las Vegas,89031,88.14,89.75,91.95,95.52,1.32,1.29,1.29,1.27,86.2,87.7,89.9,93.7,90.5,92.2,94.5,98.4,19.61,26
Las Vegas,89032,88.73,90.15,92.15,95.52,1.27,1.24,1.29,1.43,86.7,88.2,90.4,93.3,91.0,92.3,94.4,98.3,20.49,26
Las Vegas,89033,88.69,90.08,92.04,95.39,1.37,1.42,1.56,1.86,86.7,88.2,90.4,93.3,90.9,92.0,94.3,98.2,21.83,26
Las Vegas,89034,88.83,90.63,93.01,96.86,1.66,1.82,2.05,2.31,86.2,87.7,89.9,93.7,91.9,94.1,97.0,101.2,20.08,26
Las Vegas,89039,96.96,97.95,99.33,101.89,4.35,4.28,4.25,4.43,89.0,90.4,92.1,95.1,102.8,103.9,105.5,108.5,15.06,26
Las Vegas,89040,94.86,95.89,97.31,99.93,4.51,4.47,4.49,4.72,88.4,89.7,91.8,93.9,101.0,103.1,105.5,108.5,24.63,33
Las Vegas,89044,92.87,94.78,97.27,101.35,4.79,4.64,4.54,4.66,87.1,89.2,90.6,93.7,100.1,101.6,103.7,107.6,23.7,33
Las Vegas,89046,95.33,96.32,97.68,100.18,4.25,4.25,4.33,4.69,88.9,90.3,91.8,93.9,101.0,103.1,105.5,108.5,22.94,32
Las Vegas,89052,92.34,94.24,96.72,100.75,4.47,4.38,4.32,4.49,87.1,89.2,90.9,94.6,100.1,101.6,103.7,108.1,22.94,36
Las Vegas,89054,91.72,93.64,96.13,100.14,4.07,3.99,3.94,4.07,87.1,88.9,90.6,93.7,100.1,101.6,103.7,107.6,23.7,35
Las Vegas,89074,92.93,94.84,97.35,101.41,4.87,4.69,4.52,4.56,87.1,89.3,91.5,94.8,100.9,102.5,104.8,108.8,23.15,35
Las Vegas,89081,88.26,89.91,92.12,95.84,3.47,3.68,4.07,4.89,77.9,79.4,81.4,84.4,94.4,97.4,101.7,107.9,24.15,31
Las Vegas,89084,89.11,91.05,93.59,97.51,1.76,2.04,2.33,2.66,86.7,88.2,90.3,93.7,92.1,94.6,97.7,102.3,24.51,35
Las Vegas,89085,89.32,91.2,93.69,97.6,1.6,1.84,2.08,2.33,87.5,88.9,90.9,94.6,91.9,94.1,97.0,101.2,25.0,36
Las Vegas,89086,89.14,91.04,93.54,97.46,1.7,1.97,2.25,2.53,86.7,88.2,90.4,94.3,91.9,94.1,97.0,101.2,24.75,34
Las Vegas,89087,89.39,91.33,93.88,97.87,1.75,2.0,2.24,2.49,86.7,88.2,90.5,94.3,91.9,94.1,97.0,101.2,24.75,31
Las Vegas,89101,88.07,89.53,91.53,94.75,1.4,1.41,1.66,2.16,86.2,87.3,88.3,90.4,90.4,92.0,94.4,98.3,25.0,35
Las Vegas,89102,92.22,93.71,95.75,99.16,4.54,4.39,4.26,4.28,88.1,89.2,90.6,94.3,99.5,101.0,103.2,107.1,15.77,20
Las Vegas,89103,92.89,94.72,97.12,100.91,3.83,3.61,3.45,3.5,88.4,90.3,92.6,95.9,99.7,101.0,103.2,107.1,16.5,20
Las Vegas,89104,90.55,92.07,94.17,97.56,3.92,3.77,3.61,3.57,86.8,88.6,91.1,95.0,99.5,101.0,103.0,106.8,15.62,20
Las Vegas,89106,89.86,91.31,93.35,96.67,3.14,3.03,2.91,2.89,86.8,88.6,91.1,94.3,98.8,99.8,101.1,103.6,15.48,20
Las Vegas,89107,91.82,93.34,95.43,98.88,4.37,4.22,4.11,4.14,88.1,89.2,90.6,94.3,99.5,101.0,103.2,107.1,16.34,20
Las Vegas,89108,92.06,93.69,95.89,99.48,4.1,3.98,3.91,4.0,88.1,89.8,91.5,94.8,99.5,101.0,103.2,107.1,16.78,20
Las Vegas,89109,94.99,96.39,98.33,101.66,4.65,4.49,4.34,4.39,88.4,90.3,92.6,95.5,99.7,101.0,103.2,107.1,17.67,22
Las Vegas,89110,90.43,91.94,94.04,97.43,3.72,3.59,3.46,3.47,86.8,88.6,91.1,94.3,99.5,101.0,103.0,106.8,16.5,20
Las Vegas,89113,93.53,95.38,97.79,101.63,3.76,3.49,3.3,3.32,88.6,90.4,92.6,95.6,99.7,101.0,103.2,107.1,15.77,20
Las Vegas,89115,90.02,91.68,93.98,97.61,1.75,1.8,1.94,2.24,87.6,89.2,91.2,94.4,91.4,94.0,96.6,100.6,43.48,63
Las Vegas,89117,92.49,94.53,97.14,101.23,3.58,3.54,3.58,3.9,88.5,90.7,92.6,95.5,100.1,101.6,103.7,108.1,30.86,53
Las Vegas,89118,90.2,91.95,94.31,98.01,1.11,1.28,1.6,2.04,88.2,89.6,92.0,95.3,91.8,94.1,97.0,101.5,46.73,65
Las Vegas,89119,89.31,91.05,93.4,97.1,1.39,1.63,2.02,2.57,87.1,88.6,90.4,93.4,91.2,93.3,96.5,101.5,63.29,76
Las Vegas,89120,90.2,92.03,94.47,98.27,1.13,1.29,1.59,2.02,88.1,89.8,91.8,95.1,91.7,94.0,96.9,101.5,38.46,56
Las Vegas,89121,89.92,91.69,94.08,97.84,1.17,1.32,1.6,2.02,88.1,89.5,91.6,94.8,91.4,93.6,96.1,100.4,49.5,65
Las Vegas,89122,90.48,92.39,94.92,98.81,1.37,1.66,2.02,2.42,86.7,88.2,90.4,94.3,91.9,94.1,97.2,101.8,40.0,57
Las Vegas,89123,91.08,93.15,95.84,99.9,1.08,1.51,1.97,2.5,89.6,90.6,92.6,96.0,92.3,95.4,99.3,104.4,34.97,54
Las Vegas,89124,87.77,89.18,91.06,94.37,1.72,1.66,1.73,2.02,84.6,85.9,87.7,91.1,90.9,91.8,93.6,98.0,18.12,28
Las Vegas,89128,92.24,94.05,96.42,100.29,4.22,4.2,4.28,4.51,87.5,88.9,90.6,94.3,99.7,101.3,103.3,107.6,43.1,54
Las Vegas,89129,93.26,95.01,97.33,101.16,4.29,4.19,4.15,4.32,88.0,89.2,91.3,94.8,99.8,101.3,103.3,107.6,36.23,47
Las Vegas,89130,92.04,93.89,96.31,100.23,4.04,4.01,4.05,4.24,87.5,88.9,90.9,94.3,99.7,101.3,103.3,107.4,45.45,57
Las Vegas,89131,92.08,93.92,96.32,100.25,4.19,4.09,4.05,4.24,87.3,89.0,91.2,94.6,99.7,101.3,103.3,107.6,37.88,51
Las Vegas,89134,93.5,95.41,97.89,101.87,4.28,4.15,4.12,4.34,87.7,89.5,92.0,95.6,100.1,101.6,103.7,108.1,33.78,43
Las Vegas,89135,93.48,95.33,97.75,101.71,4.67,4.53,4.46,4.65,87.6,89.5,92.0,95.6,100.1,101.6,103.7,108.1,30.49,40
Las Vegas,89138,92.73,94.62,97.08,101.05,4.24,4.19,4.2,4.44,87.6,89.2,91.3,94.8,99.8,101.3,103.3,107.6,34.48,45
Las Vegas,89139,91.41,93.3,95.76,99.74,3.44,3.47,3.59,3.89,87.5,88.9,90.9,94.6,99.5,101.0,103.2,107.6,47.62,59
Las Vegas,89141,91.84,93.66,96.04,99.9,3.9,3.84,3.84,4.02,87.6,89.2,91.2,94.6,99.7,101.1,103.2,107.6,43.48,55
Las Vegas,89142,88.47,89.98,92.07,95.39,1.1,1.07,1.22,1.58,87.0,88.6,90.6,93.3,90.3,91.9,94.3,98.2,23.7,35
Las Vegas,89143,89.29,91.52,94.32,98.54,1.76,1.97,2.17,2.43,87.1,89.2,91.6,95.5,91.7,94.0,96.7,101.1,28.09,35
Las Vegas,89144,91.02,93.2,95.93,100.2,4.33,4.13,4.03,4.26,87.1,89.3,92.1,96.1,100.9,102.5,104.8,108.8,25.51,33
Las Vegas,89145,88.92,91.08,93.86,98.08,1.58,1.65,1.75,1.9,86.5,88.5,91.3,95.6,91.6,93.8,96.6,101.0,25.91,34
Las Vegas,89146,88.57,90.37,92.78,96.5,1.26,1.29,1.48,1.78,87.1,88.9,90.7,93.8,91.0,92.8,95.5,99.6,32.26,41
Las Vegas,89147,89.23,91.01,93.42,97.18,1.41,1.4,1.52,1.72,87.4,89.1,91.5,94.8,91.4,93.1,96.1,100.4,29.76,39
Las Vegas,89148,88.84,90.94,93.61,97.67,1.69,1.92,2.25,2.67,87.1,89.2,91.3,94.8,91.6,93.8,96.7,101.1,35.21,44
Las Vegas,89149,88.82,90.93,93.61,97.71,1.58,1.72,1.93,2.21,86.5,88.5,91.3,94.8,91.4,93.1,96.4,101.0,29.41,42
Las Vegas,89156,90.63,92.15,94.27,97.71,3.81,3.68,3.57,3.6,87.0,88.6,90.7,94.0,99.7,101.0,103.0,106.1,35.71,46
Las Vegas,89158,98.24,99.71,101.71,105.36,2.98,2.94,3.05,3.72,90.9,92.3,94.2,97.5,101.2,103.3,106.3,112.4,16.45,19
Las Vegas,89161,92.25,94.33,96.94,101.09,3.37,3.29,3.25,3.47,88.0,89.5,92.0,95.6,99.8,101.3,103.3,107.6,16.13,18
Las Vegas,89165,90.64,91.95,93.8,96.9,3.83,3.63,3.36,3.03,85.1,87.1,89.6,93.5,99.3,100.3,101.5,103.7,15.92,18
Las Vegas,89166,91.64,94.01,96.92,101.41,3.41,3.33,3.34,3.76,87.1,89.3,92.2,96.4,99.8,101.3,103.3,107.6,15.92,17
Las Vegas,89169,98.0,99.35,101.23,104.74,3.22,3.29,3.44,4.07,90.9,91.9,94.2,97.5,101.2,103.3,106.3,112.4,16.89,19
Las Vegas,89178,92.12,94.37,97.18,101.51,3.94,3.79,3.72,4.03,87.1,89.3,92.2,96.4,100.9,102.5,104.8,108.8,15.97,18
Las Vegas,89179,90.68,92.95,95.76,99.95,2.07,2.18,2.33,2.59,87.1,89.3,92.0,95.9,93.7,97.1,101.0,106.4,15.82,18
Las Vegas,89183,90.47,92.3,94.66,98.33,1.09,1.41,1.8,2.24,88.0,89.5,91.7,94.4,91.9,94.1,97.0,101.2,17.3,19
Las Vegas,89199,90.39,91.77,93.73,96.95,3.1,2.95,2.77,2.58,88.1,89.4,91.2,94.3,99.2,99.9,100.9,102.6,17.01,18
Portland,97003,74.96,77.16,79.7,83.16,2.33,2.08,1.86,1.59,70.0,73.1,77.0,81.5,79.6,81.3,83.3,86.2,12.72,17
Portland,97005,77.51,80.39,83.38,87.21,2.2,2.4,2.51,2.61,75.2,77.7,80.5,84.3,83.2,86.8,90.1,94.1,10.66,11
Portland,97006,78.47,80.79,83.38,86.92,2.08,2.23,2.37,2.55,74.7,76.6,78.9,82.0,81.5,84.1,86.9,90.8,10.5,11
Portland,97007,78.86,81.2,83.8,87.36,1.93,2.04,2.14,2.28,75.7,77.7,80.1,83.4,81.5,84.1,86.9,90.8,10.48,11
Portland,97008,75.79,78.13,80.74,84.26,1.31,1.38,1.5,1.6,74.0,76.4,79.0,82.3,78.8,81.2,83.9,87.5,10.0,10
Portland,97009,74.32,76.63,79.36,83.2,3.45,3.02,2.53,1.83,68.7,71.4,74.6,79.5,79.6,81.3,83.3,86.2,10.0,10
Portland,97013,74.61,76.83,79.43,83.09,3.25,2.87,2.48,1.89,68.7,71.4,74.6,79.5,79.6,81.3,83.3,86.2,10.44,11
Portland,97015,76.87,79.32,82.06,85.67,1.6,1.63,1.73,1.86,74.9,77.3,79.8,83.3,80.4,82.9,85.8,89.5,25.0,32
Portland,97019,73.6,76.08,78.96,82.98,2.55,2.43,2.36,2.34,68.7,71.4,74.6,79.5,78.5,79.7,83.1,86.9,24.15,33
Portland,97022,73.86,76.38,79.3,83.41,2.76,2.61,2.52,2.53,68.7,71.4,74.6,79.5,78.8,80.1,83.2,87.9,24.39,33
Portland,97024,77.32,79.79,82.55,86.19,1.75,1.77,1.87,1.99,74.9,77.3,79.8,83.3,80.4,82.9,86.0,89.8,24.04,33
Portland,97027,76.53,79.07,81.87,85.54,1.22,1.25,1.36,1.5,74.9,77.3,80.0,83.3,78.8,81.2,83.8,87.5,24.39,32
Portland,97030,74.24,76.5,79.08,82.6,1.44,1.52,1.62,1.77,71.2,73.9,77.1,80.3,76.3,79.2,82.4,86.4,23.7,32
Portland,97034,76.41,79.05,81.95,85.69,1.47,1.52,1.64,1.75,75.1,77.3,79.8,83.3,78.0,80.6,83.7,87.5,23.04,32
Portland,97035,78.72,81.58,84.63,88.46,2.9,2.93,2.97,2.98,75.2,77.7,80.5,84.3,83.7,86.8,90.1,94.1,20.16,26
Portland,97038,71.92,74.79,77.98,82.15,3.26,3.23,3.15,2.91,67.9,70.5,73.5,77.2,76.5,79.7,83.0,86.9,19.61,30
Portland,97042,74.73,77.22,80.04,83.71,1.76,1.75,1.79,1.78,71.6,74.6,77.5,81.2,78.1,80.0,83.0,86.9,21.65,31
